study,participant.id,start.date,end.date,excluded.selective,advice,advice.algorithm,moroccan.teacher.cond,moroccan.teacher.cond.lab,moroccan.teacher.cond.bi,moroccan.teacher.cond.bi.lab,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,familiarity.algorithms.gov
study 3,study3_272,2/15/2021 10:17,2/15/2021 10:29,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,7,0,1,0,45,1,1
study 3,study3_273,2/15/2021 10:19,2/15/2021 10:27,0,human,0,0,0 none,0,Dutch teacher,9,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,58,0,0
study 3,study3_274,2/15/2021 10:21,2/15/2021 10:33,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,51,1,0
study 3,study3_275,2/15/2021 10:22,2/15/2021 10:38,1,human,0,0,0 none,0,Dutch teacher,16,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,62,1,0
study 3,study3_276,2/15/2021 10:25,2/15/2021 10:37,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,59,0,1
study 3,study3_277,2/15/2021 10:26,2/15/2021 11:49,0,human,0,0,0 none,0,Dutch teacher,83,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,48,1,0
study 3,study3_278,2/15/2021 10:27,2/15/2021 10:51,0,human,0,0,0 none,0,Dutch teacher,25,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,55,1,1
study 3,study3_279,2/15/2021 10:33,2/15/2021 10:43,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,37,0,0
study 3,study3_280,2/15/2021 10:37,2/15/2021 10:45,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,44,0,0
study 3,study3_281,2/15/2021 10:46,2/15/2021 11:04,1,human,0,0,0 none,0,Dutch teacher,18,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,49,1,0
study 3,study3_282,2/15/2021 10:49,2/15/2021 11:04,0,human,0,0,0 none,0,Dutch teacher,15,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,54,1,1
study 3,study3_283,2/15/2021 10:59,2/15/2021 11:10,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,56,1,1
study 3,study3_284,2/15/2021 11:00,2/15/2021 11:08,0,human,0,0,0 none,0,Dutch teacher,8,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,49,1,1
study 3,study3_285,2/15/2021 11:02,2/15/2021 11:18,0,human,0,0,0 none,0,Dutch teacher,16,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,57,1,1
study 3,study3_286,2/15/2021 11:26,2/15/2021 11:33,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,61,0,0
study 3,study3_287,2/15/2021 11:28,2/15/2021 11:48,0,human,0,0,0 none,0,Dutch teacher,20,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,4,1,1,0,61,1,0
study 3,study3_288,2/15/2021 11:29,2/15/2021 11:40,0,human,0,0,0 none,0,Dutch teacher,11,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,42,1,1
study 3,study3_289,2/15/2021 11:30,2/15/2021 11:50,0,human,0,0,0 none,0,Dutch teacher,20,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,59,1,0
study 3,study3_290,2/15/2021 11:33,2/15/2021 11:44,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,64,0,0
study 3,study3_291,2/15/2021 11:45,2/15/2021 11:56,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,53,0,0
study 3,study3_292,2/15/2021 12:01,2/15/2021 12:16,0,human,0,0,0 none,0,Dutch teacher,15,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,50,0,1
study 3,study3_293,2/15/2021 12:01,2/15/2021 12:10,0,human,0,0,0 none,0,Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,64,0,1
study 3,study3_294,2/15/2021 12:04,2/15/2021 13:15,0,human,0,0,0 none,0,Dutch teacher,72,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,1
study 3,study3_295,2/15/2021 12:18,2/15/2021 12:48,0,human,0,0,0 none,0,Dutch teacher,30,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,60,1,1
study 3,study3_296,2/15/2021 12:29,2/15/2021 12:41,0,human,0,0,0 none,0,Dutch teacher,13,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,8,0,0,1,61,0,1
study 3,study3_297,2/15/2021 12:33,2/15/2021 12:43,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,50,0,0
study 3,study3_298,2/15/2021 12:33,2/15/2021 12:49,0,human,0,0,0 none,0,Dutch teacher,16,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,50,1,0
study 3,study3_299,2/15/2021 12:54,2/15/2021 13:01,0,human,0,0,0 none,0,Dutch teacher,6,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,63,0,0
study 3,study3_300,2/15/2021 13:03,2/15/2021 13:10,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,0,63,1,1
study 3,study3_301,2/15/2021 13:11,2/15/2021 13:34,0,human,0,0,0 none,0,Dutch teacher,23,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,58,0,1
study 3,study3_302,2/15/2021 13:23,2/15/2021 13:37,0,human,0,0,0 none,0,Dutch teacher,14,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,58,0,0
study 3,study3_303,2/15/2021 13:39,2/15/2021 14:07,0,human,0,0,0 none,0,Dutch teacher,27,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,1,1
study 3,study3_304,2/15/2021 13:41,2/15/2021 13:46,0,human,0,0,0 none,0,Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,45,1,1
study 3,study3_305,2/15/2021 14:30,2/15/2021 14:36,0,human,0,0,0 none,0,Dutch teacher,6,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,62,1,0
study 3,study3_306,2/15/2021 14:30,2/15/2021 14:43,1,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,1
study 3,study3_307,2/15/2021 14:34,2/15/2021 15:02,0,human,0,0,0 none,0,Dutch teacher,28,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,50,0,0
study 3,study3_308,2/15/2021 14:44,2/15/2021 15:07,0,human,0,0,0 none,0,Dutch teacher,22,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,43,1,0
study 3,study3_309,2/15/2021 15:07,2/15/2021 15:17,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,57,0,1
study 3,study3_310,2/15/2021 15:16,2/15/2021 15:29,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,62,1,1
study 3,study3_311,2/15/2021 15:27,2/15/2021 15:37,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,47,1,1
study 3,study3_312,2/15/2021 15:40,2/15/2021 16:37,1,human,0,0,0 none,0,Dutch teacher,57,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,65,1,0
study 3,study3_313,2/15/2021 15:50,2/15/2021 16:06,0,human,0,0,0 none,0,Dutch teacher,17,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,42,0,1
study 3,study3_314,2/15/2021 16:45,2/15/2021 17:00,0,human,0,0,0 none,0,Dutch teacher,15,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,1,0
study 3,study3_315,2/15/2021 17:13,2/15/2021 17:27,0,human,0,0,0 none,0,Dutch teacher,14,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,61,1,1
study 3,study3_316,2/15/2021 17:36,2/15/2021 17:42,0,human,0,0,0 none,0,Dutch teacher,6,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,1,63,0,0
study 3,study3_317,2/15/2021 18:00,2/15/2021 18:14,0,human,0,0,0 none,0,Dutch teacher,14,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,1
study 3,study3_318,2/15/2021 18:01,2/15/2021 18:13,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,64,1,1
study 3,study3_319,2/15/2021 18:02,2/15/2021 18:12,0,human,0,0,0 none,0,Dutch teacher,9,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,4,1,1,0,62,0,1
study 3,study3_320,2/15/2021 18:49,2/15/2021 19:02,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,57,1,1
study 3,study3_321,2/15/2021 19:13,2/15/2021 19:18,0,human,0,0,0 none,0,Dutch teacher,5,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,7,0,0,1,64,0,0
study 3,study3_322,2/15/2021 19:22,2/15/2021 19:50,0,human,0,0,0 none,0,Dutch teacher,28,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,61,1,1
study 3,study3_323,2/15/2021 19:39,2/15/2021 19:50,0,human,0,0,0 none,0,Dutch teacher,11,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,46,1,0
study 3,study3_324,2/15/2021 19:40,2/15/2021 19:50,0,human,0,0,0 none,0,Dutch teacher,10,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,61,1,1
study 3,study3_325,2/15/2021 19:44,2/15/2021 19:54,0,human,0,0,0 none,0,Dutch teacher,10,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,54,1,1
study 3,study3_326,2/15/2021 21:00,2/15/2021 21:14,0,human,0,0,0 none,0,Dutch teacher,14,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,49,1,0
study 3,study3_327,2/15/2021 21:25,2/15/2021 21:33,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,57,1,1
study 3,study3_328,2/15/2021 21:32,2/15/2021 21:39,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,0,63,0,0
study 3,study3_329,2/16/2021 1:30,2/16/2021 1:46,0,human,0,0,0 none,0,Dutch teacher,16,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,56,0,1
study 3,study3_330,2/16/2021 9:15,2/16/2021 9:26,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,50,1,0
study 3,study3_331,2/16/2021 10:58,2/16/2021 11:16,0,human,0,0,0 none,0,Dutch teacher,17,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,61,1,0
study 3,study3_332,2/16/2021 15:31,2/16/2021 15:46,1,human,0,0,0 none,0,Dutch teacher,15,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,60,0,0
study 3,study3_333,2/16/2021 16:36,2/16/2021 16:53,0,human,0,0,0 none,0,Dutch teacher,17,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,58,0,0
study 3,study3_334,2/17/2021 9:17,2/17/2021 9:23,0,human,0,0,0 none,0,Dutch teacher,6,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,63,0,0
study 3,study3_335,2/17/2021 13:50,2/17/2021 14:07,0,human,0,0,0 none,0,Dutch teacher,17,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,62,1,1
study 3,study3_336,2/17/2021 21:52,2/17/2021 22:01,1,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,56,1,0
study 3,study3_337,2/18/2021 8:10,2/18/2021 8:24,0,human,0,0,0 none,0,Dutch teacher,14,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,1,0,59,1,0
study 3,study3_338,2/18/2021 10:37,2/18/2021 10:47,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,57,0,0
study 3,study3_339,2/19/2021 12:51,2/19/2021 13:07,1,human,0,0,0 none,0,Dutch teacher,16,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,57,1,1
study 3,study3_340,2/19/2021 17:45,2/19/2021 18:04,0,human,0,0,0 none,0,Dutch teacher,19,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,52,1,1
study 3,study3_341,2/20/2021 14:15,2/20/2021 14:20,0,human,0,0,0 none,0,Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,3,0,0,0,62,1,0
study 3,study3_342,2/20/2021 16:30,2/20/2021 16:39,0,human,0,0,0 none,0,Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,1,0,61,1,1
study 3,study3_343,2/22/2021 17:47,2/22/2021 18:03,0,human,0,0,0 none,0,Dutch teacher,17,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,48,1,0
study 3,study3_344,2/2/2021 13:21,2/2/2021 13:28,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,7,2,2. Jansen,6,0,3. Other selection,0,0,7,0,0,1,49,1,1
study 3,study3_345,2/2/2021 13:22,2/2/2021 13:30,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,1,0,57,1,1
study 3,study3_346,2/2/2021 13:22,2/15/2021 9:44,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,18502,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,1,51,1,0
study 3,study3_347,2/2/2021 13:23,2/2/2021 13:30,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,7,1,1. El Amrani,4,1,1. Select teacher with lowest ILE score,1,1,8,0,0,0,63,0,0
study 3,study3_348,2/2/2021 13:23,2/2/2021 13:34,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,63,1,1
study 3,study3_349,2/2/2021 13:23,2/2/2021 13:32,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9,1,1. El Amrani,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,62,1,1
study 3,study3_350,2/2/2021 13:23,2/2/2021 13:33,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,55,1,1
study 3,study3_351,2/2/2021 13:25,2/2/2021 13:39,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,15,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,38,1,1
study 3,study3_352,2/2/2021 13:26,2/2/2021 13:33,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,49,0,0
study 3,study3_353,2/2/2021 13:27,2/2/2021 13:56,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,29,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,4,0,0,1,57,1,1
study 3,study3_354,2/2/2021 13:28,2/2/2021 13:34,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,6,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,1,49,1,1
study 3,study3_355,2/2/2021 13:28,2/2/2021 13:40,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,4,0,1,1,58,1,1
study 3,study3_356,2/2/2021 13:29,2/2/2021 13:34,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,46,1,1
study 3,study3_357,2/2/2021 13:29,2/2/2021 13:37,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,60,0,1
study 3,study3_358,2/2/2021 13:29,2/2/2021 13:50,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,21,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,57,1,1
study 3,study3_359,2/2/2021 13:29,2/2/2021 13:43,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,14,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,0
study 3,study3_360,2/2/2021 13:30,2/2/2021 14:06,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,36,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,60,1,1
study 3,study3_361,2/2/2021 13:30,2/2/2021 13:39,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,60,1,1
study 3,study3_362,2/2/2021 13:31,2/2/2021 13:37,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,6,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,58,1,0
study 3,study3_363,2/2/2021 13:32,2/2/2021 13:42,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,56,1,0
study 3,study3_364,2/2/2021 13:32,2/2/2021 13:41,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,42,1,1
study 3,study3_365,2/2/2021 13:34,2/2/2021 13:51,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,16,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,60,1,1
study 3,study3_366,2/2/2021 13:35,2/2/2021 13:51,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,17,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,57,1,1
study 3,study3_367,2/2/2021 13:37,2/2/2021 13:51,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,14,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,61,0,1
study 3,study3_368,2/2/2021 13:37,2/2/2021 17:21,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,224,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,56,1,1
study 3,study3_369,2/2/2021 13:37,2/2/2021 13:57,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,20,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,55,0,1
study 3,study3_370,2/2/2021 13:37,2/2/2021 14:07,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,30,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,64,1,1
study 3,study3_371,2/2/2021 13:37,2/2/2021 13:46,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,54,0,0
study 3,study3_372,2/2/2021 13:37,2/2/2021 13:51,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,14,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,51,1,1
study 3,study3_373,2/2/2021 13:37,2/2/2021 13:46,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,0,1,59,1,0
study 3,study3_374,2/2/2021 13:40,2/2/2021 13:49,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9,1,1. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,55,0,1
study 3,study3_375,2/2/2021 13:42,2/2/2021 13:52,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,54,1,0
study 3,study3_376,2/2/2021 13:42,2/2/2021 20:43,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,420,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,59,1,1
study 3,study3_377,2/2/2021 13:42,2/2/2021 14:07,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,24,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,51,1,1
study 3,study3_378,2/2/2021 13:45,2/2/2021 13:53,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,40,1,1
study 3,study3_379,2/2/2021 13:45,2/2/2021 13:58,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,50,1,1
study 3,study3_380,2/2/2021 13:46,2/2/2021 13:55,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,56,1,1
study 3,study3_381,2/2/2021 13:47,2/2/2021 13:59,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,0
study 3,study3_382,2/2/2021 13:47,2/2/2021 13:59,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,12,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,64,1,1
study 3,study3_383,2/2/2021 13:48,2/2/2021 14:02,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,51,0,0
study 3,study3_384,2/2/2021 13:51,2/2/2021 15:27,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,96,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,33,1,1
study 3,study3_385,2/2/2021 13:52,2/2/2021 14:07,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,16,1,1. El Amrani,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,1,46,1,0
study 3,study3_386,2/2/2021 13:57,2/2/2021 14:35,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,38,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,59,1,1
study 3,study3_387,2/2/2021 13:58,2/2/2021 14:18,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,20,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,65,0,0
study 3,study3_388,2/2/2021 13:59,2/2/2021 14:10,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,1
study 3,study3_389,2/2/2021 13:59,2/2/2021 14:11,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,47,1,1
study 3,study3_390,2/2/2021 13:59,2/2/2021 14:07,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,48,1,1
study 3,study3_391,2/2/2021 14:00,2/2/2021 14:15,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,15,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,55,0,0
study 3,study3_392,2/2/2021 14:02,2/2/2021 14:19,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,17,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,56,1,0
study 3,study3_393,2/2/2021 14:03,2/2/2021 14:11,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,59,1,1
