study,participant.id,start.date,end.date,IMC,excluded,excluded.selective,advice,advice.algorithm,moroccan.teacher.cond,moroccan.teacher.cond.lab,moroccan.teacher.cond.bi,moroccan.teacher.cond.bi.lab,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,income,familiarity.algorithms.gov,congruence.lab
study 2,study2_226,3/26/2020 17:26,3/26/2020 17:31,0,1,1,algorithm,1,0,0 none,0,Dutch teacher,5.42,1,A. Verhagen,8,0,3. Other selection,1,0,2,0,0,0,14,0,2,0,1.high
study 2,study2_227,3/26/2020 17:22,3/26/2020 17:31,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,8.92,1,A. Verhagen,8,0,3. Other selection,1,1,8,1,1,0,54,0,3,0,1.high
study 2,study2_228,3/26/2020 17:26,3/26/2020 17:33,0,1,1,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,6.13,1,A. Verhagen,8,0,3. Other selection,1,0,10,0,0,0,100,1,4,NA,1.high
study 2,study2_229,3/26/2020 17:23,3/26/2020 17:35,1,0,0,human,0,0,0 none,0,Dutch teacher,12.72,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,66,0,5,NA,2.low
study 2,study2_230,3/26/2020 17:26,3/26/2020 17:38,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,12.42,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,58,0,2,0,2.low
study 2,study2_231,3/26/2020 17:24,3/26/2020 17:41,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,16.1,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,50,0,3,1,2.low
study 2,study2_232,3/26/2020 17:22,3/26/2020 17:42,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,19.1,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,30,0,5,NA,2.low
study 2,study2_233,3/26/2020 17:44,3/26/2020 17:49,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,4.88,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,40,0,2,0,2.low
study 2,study2_234,3/26/2020 17:44,3/26/2020 17:50,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,5.72,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,1,37,0,3,0,2.low
study 2,study2_235,3/26/2020 17:45,3/26/2020 17:50,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.22,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,22,1,2,0,1.high
study 2,study2_236,3/26/2020 17:23,3/26/2020 17:51,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,27.97,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,44,1,2,NA,1.high
study 2,study2_237,3/26/2020 17:49,3/26/2020 17:52,0,1,1,human,0,0,0 none,0,Dutch teacher,3.08,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,5,0,0,0,45,0,3,NA,2.low
study 2,study2_238,3/26/2020 17:47,3/26/2020 17:53,0,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.33,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,51,1,5,0,1.high
study 2,study2_239,3/26/2020 17:48,3/26/2020 17:53,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,4.98,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,22,1,4,0,1.high
study 2,study2_240,3/26/2020 17:47,3/26/2020 17:54,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,6.95,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,39,0,3,NA,2.low
study 2,study2_241,3/26/2020 17:51,3/26/2020 17:54,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,3.52,1,A. Verhagen,8,0,3. Other selection,1,0,5,0,1,0,35,1,5,0,1.high
study 2,study2_242,3/26/2020 17:50,3/26/2020 17:54,1,0,0,human,0,0,0 none,0,Dutch teacher,4.1,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,1,25,1,4,NA,1.high
study 2,study2_243,3/26/2020 17:47,3/26/2020 17:54,1,0,0,human,0,0,0 none,0,Dutch teacher,7,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,37,1,3,NA,2.low
study 2,study2_244,3/26/2020 17:49,3/26/2020 17:54,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,4.9,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,8,0,1,1,39,0,2,0,1.high
study 2,study2_245,3/26/2020 17:47,3/26/2020 17:55,0,1,1,algorithm,1,0,0 none,0,Dutch teacher,8.63,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,1,19,0,3,1,1.high
study 2,study2_246,3/26/2020 17:48,3/26/2020 17:56,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,7.53,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,49,1,3,0,1.high
study 2,study2_247,3/26/2020 17:47,3/26/2020 17:56,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9.48,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,24,1,2,0,2.low
study 2,study2_248,3/26/2020 17:50,3/26/2020 17:56,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.97,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,1,49,1,1,NA,1.high
study 2,study2_249,3/26/2020 17:49,3/26/2020 17:57,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,8.05,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,0,0,1,0,64,1,5,0,1.high
study 2,study2_250,3/26/2020 17:50,3/26/2020 17:57,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.73,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,55,NA,5,1,1.high
study 2,study2_251,3/26/2020 17:55,3/26/2020 17:57,0,1,0,human,0,0,0 none,0,Dutch teacher,1.52,1,A. Verhagen,8,0,3. Other selection,1,1,9,0,1,1,25,1,5,NA,1.high
study 2,study2_252,3/26/2020 17:46,3/26/2020 17:57,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,11.23,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,65,1,4,NA,2.low
study 2,study2_253,3/26/2020 17:53,3/26/2020 17:57,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,4.05,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,43,0,1,0,2.low
study 2,study2_254,3/26/2020 17:46,3/26/2020 17:57,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,10.98,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,24,0,1,0,2.low
study 2,study2_255,3/26/2020 17:48,3/26/2020 17:58,0,1,1,human,0,0,0 none,0,Dutch teacher,9.42,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,74,1,4,NA,1.high
study 2,study2_256,3/26/2020 17:53,3/26/2020 17:58,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,4.8,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,38,1,5,0,1.high
study 2,study2_257,3/26/2020 17:56,3/26/2020 17:59,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,3.33,1,A. Verhagen,8,0,3. Other selection,1,1,7,0,0,0,22,0,1,0,1.high
study 2,study2_258,3/26/2020 17:44,3/26/2020 17:59,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,15.38,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,1,1,54,1,3,1,1.high
study 2,study2_259,3/26/2020 17:23,3/26/2020 17:59,1,0,0,human,0,0,0 none,0,Dutch teacher,36.85,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,43,1,2,NA,1.high
study 2,study2_260,3/26/2020 17:49,3/26/2020 17:59,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,10,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,53,1,1,0,1.high
study 2,study2_261,3/26/2020 17:47,3/26/2020 18:00,0,1,1,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,12.75,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,60,0,2,0,2.low
study 2,study2_262,3/26/2020 17:49,3/26/2020 18:00,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,11.17,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,19,1,3,0,2.low
study 2,study2_263,3/26/2020 17:55,3/26/2020 18:00,0,1,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,5.23,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,1,48,0,2,0,2.low
study 2,study2_264,3/26/2020 17:49,3/26/2020 18:00,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,11.25,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,33,1,2,0,1.high
study 2,study2_265,3/26/2020 17:49,3/26/2020 18:00,1,0,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,11.07,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,39,0,4,NA,2.low
study 2,study2_266,3/26/2020 17:50,3/26/2020 18:01,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,10.7,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,56,0,5,0,1.high
study 2,study2_267,3/26/2020 17:50,3/26/2020 18:01,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,10.68,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,77,1,1,NA,1.high
study 2,study2_268,3/26/2020 17:50,3/26/2020 18:02,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,11.67,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,30,1,2,0,1.high
study 2,study2_269,3/26/2020 17:56,3/26/2020 18:02,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,6.13,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,0,0,8,0,1,0,52,1,3,0,1.high
study 2,study2_270,3/26/2020 17:56,3/26/2020 18:02,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,5.67,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,3,0,0,0,19,1,4,NA,2.low
study 2,study2_271,3/26/2020 17:56,3/26/2020 18:03,1,0,0,human,0,0,0 none,0,Dutch teacher,6.42,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,6,0,1,0,77,0,1,NA,2.low
study 2,study2_272,3/26/2020 17:48,3/26/2020 18:03,1,0,0,human,0,0,0 none,0,Dutch teacher,15.75,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,0,0,52,0,3,NA,2.low
study 2,study2_273,3/26/2020 17:58,3/26/2020 18:03,0,1,0,human,0,0,0 none,0,Dutch teacher,5.07,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,5,0,1,1,64,NA,3,NA,1.high
study 2,study2_274,3/26/2020 17:57,3/26/2020 18:04,1,0,0,human,0,0,0 none,0,Dutch teacher,6.05,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,27,1,3,NA,2.low
study 2,study2_275,3/26/2020 17:58,3/26/2020 18:04,1,0,0,human,0,0,0 none,0,Dutch teacher,5.62,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,62,0,4,NA,2.low
study 2,study2_276,3/26/2020 17:57,3/26/2020 18:04,0,1,1,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,7.23,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,0,3,0,1,0,62,0,4,1,2.low
study 2,study2_277,3/26/2020 17:50,3/26/2020 18:04,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,14.15,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,0,80,0,1,NA,2.low
study 2,study2_278,3/26/2020 17:54,3/26/2020 18:04,1,0,1,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,10.37,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,25,0,1,NA,1.high
study 2,study2_279,3/26/2020 18:01,3/26/2020 18:05,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,3.4,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,7,0,1,0,32,0,3,1,2.low
study 2,study2_280,3/26/2020 17:58,3/26/2020 18:05,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,6.95,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,21,1,2,0,2.low
study 2,study2_281,3/26/2020 17:56,3/26/2020 18:05,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8.92,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,6,0,0,1,49,0,1,0,2.low
study 2,study2_282,3/26/2020 17:25,3/26/2020 18:05,1,0,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,39.78,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,0,0,0,0,70,0,2,NA,2.low
study 2,study2_283,3/26/2020 17:48,3/26/2020 18:05,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,17.18,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,1,0,0,0,42,0,1,0,2.low
study 2,study2_284,3/26/2020 17:57,3/26/2020 18:05,0,1,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8.03,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,1,20,1,1,NA,2.low
study 2,study2_285,3/26/2020 17:59,3/26/2020 18:06,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,7.12,2,M.S. Jansen,6,0,3. Other selection,1,1,4,0,1,0,21,1,2,0,2.low
study 2,study2_286,3/26/2020 18:01,3/26/2020 18:06,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,5.08,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,21,1,3,0,1.high
study 2,study2_287,3/26/2020 17:48,3/26/2020 18:08,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,20.37,2,M.S. Jansen,6,0,3. Other selection,1,1,6,1,1,0,68,0,2,0,2.low
study 2,study2_288,3/26/2020 17:58,3/26/2020 18:09,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,10.77,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,55,0,3,0,1.high
study 2,study2_289,3/26/2020 17:59,3/26/2020 18:09,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,9.73,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,60,0,1,0,1.high
study 2,study2_290,3/26/2020 18:01,3/26/2020 18:09,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,8.5,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,0,0,0,0,79,0,3,NA,1.high
study 2,study2_291,3/26/2020 18:01,3/26/2020 18:10,0,1,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,9.23,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,0,66,0,1,NA,1.high
study 2,study2_292,3/26/2020 17:50,3/26/2020 18:11,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,20.52,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,0,72,0,4,NA,1.high
study 2,study2_293,3/26/2020 17:58,3/26/2020 18:16,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,17.53,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,74,1,5,0,2.low
study 2,study2_294,3/26/2020 17:55,3/26/2020 18:18,1,0,0,human,0,0,0 none,0,Dutch teacher,23.83,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,62,1,2,NA,1.high
study 2,study2_295,3/26/2020 17:47,3/26/2020 18:20,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,32.65,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,49,0,2,0,1.high
study 2,study2_296,3/26/2020 17:51,3/26/2020 18:20,1,0,1,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,28.87,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,51,1,5,0,2.low
study 2,study2_297,3/26/2020 18:02,3/26/2020 18:25,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,23.73,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,0,0,0,0,75,0,2,0,1.high
study 2,study2_298,3/26/2020 17:51,3/26/2020 18:38,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,47.4,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,60,1,5,NA,1.high
study 2,study2_299,3/26/2020 17:58,3/26/2020 19:13,0,1,0,human,0,0,0 none,0,Dutch teacher,74.07,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,79,0,3,NA,2.low
study 2,study2_300,3/26/2020 17:58,3/26/2020 19:26,1,0,0,human,0,0,0 none,0,Dutch teacher,87.45,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,5,0,1,1,51,0,1,NA,1.high
study 2,study2_301,3/27/2020 9:08,3/27/2020 9:13,0,1,1,algorithm,1,0,0 none,0,Dutch teacher,4.95,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,0,34,1,2,0,1.high
study 2,study2_302,3/27/2020 9:09,3/27/2020 9:14,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,5.07,1,A. Verhagen,8,0,3. Other selection,0,0,7,0,1,1,36,0,3,0,1.high
study 2,study2_303,3/27/2020 9:15,3/27/2020 9:20,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,5.62,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,51,1,1,NA,2.low
study 2,study2_304,3/27/2020 9:14,3/27/2020 9:23,1,0,0,human,0,0,0 none,0,Dutch teacher,9.27,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,32,1,3,NA,2.low
study 2,study2_305,3/27/2020 9:20,3/27/2020 9:26,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.87,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,0,39,1,4,0,1.high
study 2,study2_306,3/27/2020 9:25,3/27/2020 9:28,0,1,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,2.78,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,1,51,0,3,NA,1.high
study 2,study2_307,3/27/2020 9:23,3/27/2020 9:28,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,5.58,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,33,1,2,0,1.high
study 2,study2_308,3/27/2020 9:21,3/27/2020 9:29,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,7.68,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,1,66,0,3,0,1.high
study 2,study2_309,3/27/2020 9:22,3/27/2020 9:29,1,0,0,human,0,0,0 none,0,Dutch teacher,7.12,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,0,0,62,1,4,NA,1.high
study 2,study2_310,3/27/2020 9:22,3/27/2020 9:30,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,7.27,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,26,1,3,0,1.high
study 2,study2_311,3/27/2020 9:27,3/27/2020 9:30,1,1,1,human,0,0,0 none,0,Dutch teacher,2.67,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,5,0,0,0,51,0,3,NA,2.low
study 2,study2_312,3/27/2020 9:17,3/27/2020 9:30,0,1,0,human,0,0,0 none,0,Dutch teacher,12.62,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,72,0,2,NA,2.low
study 2,study2_313,3/27/2020 9:23,3/27/2020 9:32,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,9.35,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,1,44,0,4,0,2.low
study 2,study2_314,3/27/2020 9:29,3/27/2020 9:33,0,1,0,human,0,0,0 none,0,Dutch teacher,3.78,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,8,0,0,1,35,0,3,NA,2.low
study 2,study2_315,3/27/2020 9:44,3/27/2020 9:53,0,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,9.43,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,65,0,5,0,1.high
study 2,study2_316,3/27/2020 9:39,3/27/2020 10:19,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,39.97,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,71,1,1,0,2.low
study 2,study2_317,3/27/2020 9:44,3/27/2020 10:08,0,1,1,human,0,0,0 none,0,Dutch teacher,23.73,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,1,41,0,3,NA,1.high
study 2,study2_318,3/27/2020 9:29,3/27/2020 9:36,1,0,0,human,0,0,0 none,0,Dutch teacher,6.72,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,58,0,4,NA,1.high
study 2,study2_319,3/27/2020 9:40,3/27/2020 10:24,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,44.33,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,27,1,4,0,1.high
study 2,study2_320,3/27/2020 9:37,3/27/2020 9:48,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,10.85,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,1,35,0,1,0,1.high
study 2,study2_321,3/27/2020 9:38,3/27/2020 9:47,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,8.97,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,37,0,1,1,2.low
study 2,study2_322,3/27/2020 9:41,3/27/2020 9:55,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,13.98,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,27,0,1,0,2.low
study 2,study2_323,3/27/2020 9:37,3/27/2020 9:54,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,17.08,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,62,0,2,0,2.low
study 2,study2_324,3/27/2020 9:43,3/27/2020 9:57,0,1,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,13.73,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,39,0,2,NA,2.low
study 2,study2_325,3/27/2020 9:28,3/27/2020 9:40,1,0,1,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,11.78,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,43,1,5,NA,1.high
study 2,study2_326,3/27/2020 9:54,3/27/2020 9:58,1,0,1,human,0,0,0 none,0,Dutch teacher,3.73,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,20,0,2,NA,1.high
study 2,study2_327,3/27/2020 9:45,3/27/2020 9:55,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,10.05,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,75,0,5,1,2.low
study 2,study2_328,3/27/2020 9:33,3/27/2020 9:36,1,1,0,algorithm,1,0,0 none,0,Dutch teacher,2.9,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,33,1,4,0,2.low
study 2,study2_329,3/27/2020 9:38,3/27/2020 9:43,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,4.67,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,1,29,1,2,NA,1.high
study 2,study2_330,3/27/2020 9:43,3/27/2020 9:55,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,11.52,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,70,0,1,1,2.low
study 2,study2_331,3/27/2020 9:31,3/27/2020 9:37,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.52,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,49,0,3,0,2.low
study 2,study2_332,3/27/2020 9:44,3/27/2020 9:52,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,8.08,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,51,0,2,0,2.low
