study,participant.id,start.date,end.date,IMC,excluded,advice,advice.algorithm,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,income,teacher.order,familiarity.algorithms.gov,congruence.lab
study 1,study1_120,12-02-20 16:59,12-02-20 17:19,1,0,human,0,20.18,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,28,0,3,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_121,12-02-20 17:29,12-02-20 17:30,0,1,algorithm,1,1.72,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,8,0,0,0,21,1,2,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_122,12-02-20 17:28,12-02-20 17:31,0,1,algorithm,1,2.1,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,10,0,1,0,23,0,4,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_123,12-02-20 17:29,12-02-20 17:33,0,1,human,0,4,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,8,0,0,1,21,0,3,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_124,12-02-20 17:25,12-02-20 17:33,1,0,algorithm,1,8.4,2,2.Jansen,8,0,3. Other selection,0,0,5,0,0,0,48,1,3,Jansen-Verhagen-den Heijer,1,2.medium
study 1,study1_125,12-02-20 17:29,12-02-20 17:33,1,0,human,0,4.6,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,1,54,1,1,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_126,12-02-20 17:31,12-02-20 17:33,0,1,human,0,2.27,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,9,0,0,1,50,1,4,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_127,12-02-20 17:29,12-02-20 17:34,1,0,algorithm,1,4.88,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,4,0,0,1,44,0,5,Verhagen-Jansen-den Heijer,0,3.low
study 1,study1_128,12-02-20 17:31,12-02-20 17:35,1,0,human,0,3.33,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,24,1,3,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_129,12-02-20 17:27,12-02-20 17:35,1,0,algorithm,1,7.58,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,50,0,3,Jansen-Verhagen-den Heijer,1,1.high
study 1,study1_130,12-02-20 17:28,12-02-20 17:35,1,0,algorithm,1,6.83,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,1,35,1,4,Jansen-den Heijer-Verhagen,0,2.medium
study 1,study1_131,12-02-20 17:31,12-02-20 17:35,1,0,human,0,4.22,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,32,1,4,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_132,12-02-20 17:28,12-02-20 17:36,1,0,human,0,8.28,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,1,55,0,1,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_133,12-02-20 17:31,12-02-20 17:36,1,0,algorithm,1,5.13,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,1,49,0,3,Jansen-Verhagen-den Heijer,0,1.high
study 1,study1_134,12-02-20 17:31,12-02-20 17:43,1,0,algorithm,1,12.15,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,65,1,2,Jansen-den Heijer-Verhagen,1,1.high
study 1,study1_135,12-02-20 17:58,12-02-20 18:01,1,0,algorithm,1,3.67,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,23,1,2,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_136,12-02-20 17:57,12-02-20 18:03,1,0,algorithm,1,5.48,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,0,0,0,0,58,0,3,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_137,12-02-20 17:58,12-02-20 18:03,1,0,human,0,5.05,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,4,0,0,0,40,1,5,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_138,12-02-20 17:58,12-02-20 18:04,1,0,human,0,5.63,1,1.Verhagen,8,0,3. Other selection,0,1,10,0,0,0,52,0,1,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_139,12-02-20 18:03,12-02-20 18:06,0,1,algorithm,1,3.35,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,1,9,0,0,0,43,1,4,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_140,12-02-20 17:59,12-02-20 18:06,1,0,human,0,7.48,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,8,0,0,0,38,0,3,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_141,12-02-20 17:56,12-02-20 18:06,1,0,human,0,10.1,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,62,0,4,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_142,12-02-20 18:02,12-02-20 18:09,1,0,human,0,6.88,1,1.Verhagen,8,0,3. Other selection,0,1,9,0,1,0,60,0,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_143,12-02-20 18:14,12-02-20 18:17,0,1,human,0,2.67,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,1,54,0,3,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_144,12-02-20 18:14,12-02-20 18:21,1,0,algorithm,1,6.68,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,1,29,1,3,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_145,12-02-20 18:17,12-02-20 18:23,1,0,algorithm,1,6.42,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,34,1,2,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_146,12-02-20 18:17,12-02-20 18:24,1,0,human,0,6.22,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,38,1,2,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_147,12-02-20 18:23,12-02-20 18:26,1,0,human,0,3.5,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,40,1,4,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_148,12-02-20 18:00,12-02-20 18:27,1,0,algorithm,1,26.85,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,24,1,4,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_149,12-02-20 18:23,12-02-20 18:29,1,0,human,0,6.52,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,40,0,4,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_150,12-02-20 18:24,12-02-20 18:30,1,0,algorithm,1,5.83,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,0,38,1,5,Jansen-Verhagen-den Heijer,1,2.medium
study 1,study1_151,12-02-20 18:30,12-02-20 18:34,1,0,algorithm,1,3.77,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,0,0,0,1,28,1,4,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_152,12-02-20 18:22,12-02-20 18:34,1,0,algorithm,1,12.28,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,40,1,4,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_153,12-02-20 18:23,12-02-20 18:34,1,0,human,0,10.92,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,48,1,4,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_154,12-02-20 18:28,12-02-20 18:34,1,0,human,0,6.67,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,0,0,62,0,4,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_155,12-02-20 18:28,12-02-20 18:36,1,0,human,0,8.42,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,1,0,43,0,1,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_156,12-02-20 18:28,12-02-20 18:37,1,0,human,0,9.03,2,2.Jansen,6,0,3. Other selection,0,1,7,0,1,0,51,0,1,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_157,12-02-20 18:20,12-02-20 18:38,1,0,algorithm,1,17.83,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,71,0,2,den Heijer-Jansen-Verhagen,1,3.low
study 1,study1_158,12-02-20 18:32,12-02-20 18:40,1,0,human,0,8.07,1,1.Verhagen,8,0,3. Other selection,1,1,8,1,1,1,34,0,1,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_159,12-02-20 18:33,12-02-20 18:40,1,0,algorithm,1,6.52,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,0,0,50,0,2,Jansen-Verhagen-den Heijer,0,1.high
study 1,study1_160,12-02-20 18:33,12-02-20 18:41,0,1,human,0,7.1,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,63,0,1,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_161,12-02-20 18:19,12-02-20 18:41,1,0,algorithm,1,22.05,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,0,1,71,0,3,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_162,12-02-20 18:32,12-02-20 18:45,1,0,human,0,13.85,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,39,0,1,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_163,12-02-20 18:52,12-02-20 18:57,1,0,algorithm,1,5.53,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,0,0,62,0,3,Verhagen-Jansen-den Heijer,1,3.low
study 1,study1_164,12-02-20 18:54,12-02-20 18:59,1,0,algorithm,1,4.82,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,0,20,1,4,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_165,12-02-20 18:58,12-02-20 19:01,0,1,human,0,2.97,1,1.Verhagen,8,0,3. Other selection,0,0,9,0,0,0,80,0,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_166,12-02-20 18:58,12-02-20 19:02,1,0,human,0,4.13,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,40,1,1,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_167,12-02-20 18:54,12-02-20 19:03,0,1,human,0,9.45,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,36,1,5,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_168,12-02-20 18:58,12-02-20 19:04,1,0,human,0,6.02,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,29,1,4,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_169,12-02-20 18:56,12-02-20 19:06,1,0,algorithm,1,10,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,35,1,3,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_170,12-02-20 18:58,12-02-20 19:06,1,0,human,0,8.28,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,2,0,0,1,39,0,3,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_171,12-02-20 19:03,12-02-20 19:06,0,1,human,0,3.58,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,1,6,0,0,1,69,1,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_172,12-02-20 19:01,12-02-20 19:07,1,0,human,0,6.27,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,45,1,1,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_173,12-02-20 19:03,12-02-20 19:08,1,0,algorithm,1,5.02,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,5,0,0,0,55,0,2,Verhagen-Jansen-den Heijer,0,3.low
study 1,study1_174,12-02-20 18:54,12-02-20 19:08,1,0,human,0,14.52,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,8,0,0,1,37,0,5,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_175,12-02-20 19:01,12-02-20 19:09,1,0,human,0,7.92,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,30,1,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_176,12-02-20 19:03,12-02-20 19:09,1,0,algorithm,1,6.13,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,38,1,4,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_177,12-02-20 18:52,12-02-20 19:14,0,1,human,0,21.82,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,4,0,1,0,38,0,1,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_178,12-02-20 19:09,12-02-20 19:15,0,1,human,0,6.5,2,2.Jansen,8,0,3. Other selection,0,0,4,0,0,0,45,1,4,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_179,12-02-20 18:58,12-02-20 19:18,1,0,human,0,20.23,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,40,0,1,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_180,12-02-20 18:58,12-02-20 19:26,1,0,human,0,27.67,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,60,0,1,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_181,12-02-20 18:56,12-02-20 19:28,1,0,algorithm,1,32.57,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,51,0,1,Jansen-den Heijer-Verhagen,0,2.medium
study 1,study1_182,12-02-20 19:25,12-02-20 19:29,1,0,human,0,4.03,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,18,1,1,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_183,12-02-20 19:25,12-02-20 19:29,0,1,algorithm,1,4.88,2,2.Jansen,8,0,3. Other selection,1,1,7,0,1,0,30,1,4,den Heijer-Jansen-Verhagen,0,2.medium
study 1,study1_184,12-02-20 19:25,12-02-20 19:31,1,0,algorithm,1,6.72,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,31,0,1,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_185,12-02-20 18:56,12-02-20 19:31,1,0,algorithm,1,35.48,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,28,1,5,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_186,12-02-20 19:30,12-02-20 19:33,0,1,algorithm,1,3.43,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,0,9,0,0,1,20,0,2,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_187,12-02-20 19:26,12-02-20 19:34,0,1,algorithm,1,8.67,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,33,1,3,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_188,12-02-20 19:27,12-02-20 19:36,1,0,algorithm,1,9.37,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,1,den Heijer-Jansen-Verhagen,1,3.low
study 1,study1_189,12-02-20 19:33,12-02-20 19:38,1,0,algorithm,1,5.47,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,54,0,2,Jansen-Verhagen-den Heijer,0,1.high
study 1,study1_190,12-02-20 19:28,12-02-20 19:41,0,1,algorithm,1,13.73,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,7,0,1,0,73,0,1,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_191,12-02-20 19:27,12-02-20 19:48,1,0,human,0,20.62,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,57,0,1,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_192,12-02-20 19:48,12-02-20 19:52,1,0,human,0,4.5,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,6,0,1,1,49,0,2,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_193,12-02-20 19:43,12-02-20 19:53,0,1,algorithm,1,10,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,5,0,0,1,55,0,2,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_194,12-02-20 19:46,12-02-20 19:53,1,0,algorithm,1,7.15,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,45,0,3,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_195,12-02-20 19:50,12-02-20 19:55,0,1,algorithm,1,4.97,2,2.Jansen,6,0,3. Other selection,1,0,7,0,0,1,36,0,3,Verhagen-Jansen-den Heijer,1,3.low
study 1,study1_196,12-02-20 19:48,12-02-20 19:56,1,0,algorithm,1,8.23,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,25,1,2,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_197,12-02-20 19:50,12-02-20 19:56,1,0,algorithm,1,6.37,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,1,47,1,3,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_198,12-02-20 19:52,12-02-20 19:59,1,0,human,0,7.62,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,5,0,0,1,61,0,3,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_199,12-02-20 19:31,12-02-20 20:01,1,0,human,0,30.1,1,1.Verhagen,8,0,3. Other selection,1,1,8,1,1,0,67,0,4,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_200,12-02-20 19:50,12-02-20 20:01,1,0,algorithm,1,10.82,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,41,0,1,Verhagen-Jansen-den Heijer,1,3.low
study 1,study1_201,12-02-20 19:59,12-02-20 20:05,1,0,human,0,6.27,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,43,0,5,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_202,12-02-20 20:01,12-02-20 20:07,1,0,human,0,6.18,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,0,34,0,4,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_203,12-02-20 19:58,12-02-20 20:08,1,0,algorithm,1,9.57,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,0,65,0,1,den Heijer-Jansen-Verhagen,0,2.medium
study 1,study1_204,12-02-20 20:02,12-02-20 20:11,1,0,human,0,9.18,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,39,0,1,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_205,12-02-20 19:55,12-02-20 20:19,1,0,algorithm,1,23.87,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,26,0,2,Jansen-den Heijer-Verhagen,0,2.medium
study 1,study1_206,13-02-20 14:22,13-02-20 14:23,0,1,human,0,1.17,2,2.Jansen,8,0,3. Other selection,0,0,8,1,0,0,86,1,2,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_207,13-02-20 14:22,13-02-20 14:27,1,0,human,0,4.37,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,25,1,1,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_208,13-02-20 14:27,13-02-20 14:33,0,1,human,0,6.4,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,0,5,0,1,0,24,1,3,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_209,13-02-20 14:22,13-02-20 14:34,1,0,algorithm,1,11.45,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,37,0,2,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_210,13-02-20 14:31,13-02-20 14:35,0,1,human,0,4.22,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,0,1,50,0,1,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_211,13-02-20 14:38,13-02-20 14:40,0,1,human,0,2.17,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,7,0,1,0,21,1,2,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_212,13-02-20 14:31,13-02-20 14:41,1,0,human,0,9.82,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,1,40,0,1,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_213,13-02-20 14:40,13-02-20 14:42,0,1,human,0,1.77,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,6,0,0,0,26,0,1,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_214,13-02-20 14:34,13-02-20 14:42,1,0,human,0,7.57,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,1,1,52,NA,2,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_215,13-02-20 14:40,13-02-20 14:43,0,1,algorithm,1,2.7,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,1,40,0,3,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_216,13-02-20 14:38,13-02-20 14:44,1,0,algorithm,1,5.93,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,8,0,0,1,44,0,3,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_217,13-02-20 14:38,13-02-20 14:45,1,0,human,0,7.03,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,4,0,1,1,23,1,1,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_218,13-02-20 14:34,13-02-20 14:46,1,0,human,0,11.7,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,0,1,23,0,2,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_219,13-02-20 14:31,13-02-20 14:52,1,0,algorithm,1,20.45,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,0,5,Jansen-den Heijer-Verhagen,1,3.low
study 1,study1_220,13-02-20 14:40,13-02-20 14:52,1,0,algorithm,1,11.98,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,25,1,1,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_221,13-02-20 14:51,13-02-20 14:56,1,0,human,0,5.5,1,1.Verhagen,8,0,3. Other selection,1,0,5,0,0,0,73,0,4,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_222,13-02-20 14:51,13-02-20 14:58,0,1,human,0,7.6,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,0,48,0,3,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_223,13-02-20 14:48,13-02-20 14:59,1,0,algorithm,1,10.07,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,66,0,3,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_224,13-02-20 14:56,13-02-20 15:02,1,0,algorithm,1,6.12,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,44,1,2,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_225,13-02-20 14:59,13-02-20 15:06,1,0,human,0,6.23,1,1.Verhagen,8,0,3. Other selection,1,1,8,1,1,1,46,0,1,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_226,13-02-20 15:03,13-02-20 15:07,0,1,human,0,4.48,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,0,26,0,2,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_227,13-02-20 15:08,13-02-20 15:14,1,0,human,0,5.78,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,2,0,0,1,56,0,3,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_228,13-02-20 15:12,13-02-20 15:14,0,1,algorithm,1,1.98,2,2.Jansen,6,0,3. Other selection,0,0,7,0,0,0,68,0,4,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_229,13-02-20 15:10,13-02-20 15:16,1,0,algorithm,1,5.93,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,5,0,0,1,62,0,2,Verhagen-Jansen-den Heijer,0,3.low
study 1,study1_230,13-02-20 15:03,13-02-20 15:18,1,0,human,0,15.15,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,65,1,5,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_231,13-02-20 15:14,13-02-20 15:20,1,0,algorithm,1,6.35,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,18,0,1,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_232,13-02-20 15:19,13-02-20 15:22,0,1,algorithm,1,3.68,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,5,0,0,1,40,1,3,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_233,13-02-20 15:14,13-02-20 15:22,1,0,human,0,8.53,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,67,0,3,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_234,13-02-20 15:20,13-02-20 15:24,1,0,human,0,3.47,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,10,0,0,1,23,1,3,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_235,13-02-20 15:03,13-02-20 15:24,1,0,algorithm,1,21.2,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,36,0,3,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_236,13-02-20 15:21,13-02-20 15:27,1,0,human,0,6.38,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,52,1,2,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_237,13-02-20 15:24,13-02-20 15:30,0,1,algorithm,1,6.1,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,39,0,2,Jansen-Verhagen-den Heijer,1,1.high
study 1,study1_238,13-02-20 15:17,13-02-20 15:30,1,0,algorithm,1,12.7,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,59,0,1,Jansen-Verhagen-den Heijer,0,3.low
